fixed_acidity,volatile_acidity,citric_acid,residual_sugar
8.4,0.635,0.36,2
7.7,0.43,0.25,2.6
8.9,0.59,0.5,2
9,0.82,0.14,2.6
7.7,0.43,0.25,2.6
6.9,0.52,0.25,2.6
5.2,0.48,0.04,1.6
8,0.38,0.06,1.8
8.5,0.37,0.2,2.8
6.9,0.52,0.25,2.6
8.2,1,0.09,2.3
7.2,0.63,0,1.9
7.2,0.63,0,1.9
7.2,0.645,0,1.9
7.2,0.63,0,1.9
8.2,1,0.09,2.3
8.9,0.635,0.37,1.7
12,0.38,0.56,2.1
7.7,0.58,0.1,1.8
15,0.21,0.44,2.2
15,0.21,0.44,2.2
7.3,0.66,0,2
7.1,0.68,0.07,1.9
8.2,0.6,0.17,2.3
7.7,0.53,0.06,1.7
7.3,0.66,0,2
10.8,0.32,0.44,1.6
7.1,0.6,0,1.8
11.1,0.35,0.48,3.1
7.7,0.775,0.42,1.9
7.1,0.6,0,1.8
8,0.57,0.23,3.2
9.4,0.34,0.37,2.2
6.6,0.695,0,2.1
7.7,0.41,0.76,1.8
10,0.31,0.47,2.6
7.9,0.33,0.23,1.7
7,0.975,0.04,2
8,0.52,0.03,1.7
7.9,0.37,0.23,1.8
12.5,0.56,0.49,2.4
11.8,0.26,0.52,1.8
8.1,0.87,0,3.3
7.9,0.35,0.46,3.6
6.9,0.54,0.04,3
11.5,0.18,0.51,4
7.9,0.545,0.06,4
11.5,0.18,0.51,4
10.9,0.37,0.58,4
8.4,0.715,0.2,2.4
7.5,0.65,0.18,7
7.9,0.545,0.06,4
6.9,0.54,0.04,3
11.5,0.18,0.51,4
10.3,0.32,0.45,6.4
8.9,0.4,0.32,5.6
11.4,0.26,0.44,3.6
7.7,0.27,0.68,3.5
7.6,0.52,0.12,3
8.9,0.4,0.32,5.6
9.9,0.59,0.07,3.4
9.9,0.59,0.07,3.4
12,0.45,0.55,2
7.5,0.4,0.12,3
8.7,0.52,0.09,2.5
11.6,0.42,0.53,3.3
8.7,0.52,0.09,2.5
11,0.2,0.48,2
10.4,0.55,0.23,2.7
6.9,0.36,0.25,2.4
13.3,0.34,0.52,3.2
10.8,0.5,0.46,2.5
10.6,0.83,0.37,2.6
7.1,0.63,0.06,2
7.2,0.65,0.02,2.3
6.9,0.67,0.06,2.1
7.5,0.53,0.06,2.6
11.1,0.18,0.48,1.5
8.3,0.705,0.12,2.6
7.4,0.67,0.12,1.6
8.4,0.65,0.6,2.1
10.3,0.53,0.48,2.5
7.6,0.62,0.32,2.2
10.3,0.41,0.42,2.4
10.3,0.43,0.44,2.4
7.4,0.29,0.38,1.7
10.3,0.53,0.48,2.5
7.9,0.53,0.24,2
9,0.46,0.31,2.8
8.6,0.47,0.3,3
7.4,0.36,0.29,2.6
7.1,0.35,0.29,2.5
9.6,0.56,0.23,3.4
9.6,0.77,0.12,2.9
9.8,0.66,0.39,3.2
9.6,0.77,0.12,2.9
9.8,0.66,0.39,3.2
9.3,0.61,0.26,3.4
7.8,0.62,0.05,2.3
10.3,0.59,0.42,2.8
10,0.49,0.2,11
10,0.49,0.2,11
11.6,0.53,0.66,3.65
10.3,0.44,0.5,4.5
13.4,0.27,0.62,2.6
10.7,0.46,0.39,2
10.2,0.36,0.64,2.9
10.2,0.36,0.64,2.9
8,0.58,0.28,3.2
8.4,0.56,0.08,2.1
7.9,0.65,0.01,2.5
11.9,0.695,0.53,3.4
8.9,0.43,0.45,1.9
7.8,0.43,0.32,2.8
12.4,0.49,0.58,3
12.5,0.28,0.54,2.3
12.2,0.34,0.5,2.4
10.6,0.42,0.48,2.7
10.9,0.39,0.47,1.8
10.9,0.39,0.47,1.8
11.9,0.57,0.5,2.6
7,0.685,0,1.9
6.6,0.815,0.02,2.7
13.8,0.49,0.67,3
9.6,0.56,0.31,2.8
9.1,0.785,0,2.6
10.7,0.67,0.22,2.7
9.1,0.795,0,2.6
7.7,0.665,0,2.4
13.5,0.53,0.79,4.8
6.1,0.21,0.4,1.4
6.7,0.75,0.01,2.4
11.5,0.41,0.52,3
10.5,0.42,0.66,2.95
11.9,0.43,0.66,3.1
12.6,0.38,0.66,2.6
8.2,0.7,0.23,2
8.6,0.45,0.31,2.6
11.9,0.58,0.66,2.5
12.5,0.46,0.63,2
12.8,0.615,0.66,5.8
10,0.42,0.5,3.4
12.8,0.615,0.66,5.8
10.4,0.575,0.61,2.6
10.3,0.34,0.52,2.8
9.4,0.27,0.53,2.4
6.9,0.765,0.02,2.3
7.9,0.24,0.4,1.6
9.1,0.28,0.48,1.8
7.4,0.55,0.22,2.2
14,0.41,0.63,3.8
11.5,0.54,0.71,4.4
11.5,0.45,0.5,3
9.4,0.27,0.53,2.4
11.4,0.625,0.66,6.2
8.3,0.42,0.38,2.5
8.3,0.26,0.42,2
13.7,0.415,0.68,2.9
8.3,0.26,0.42,2
8.3,0.26,0.42,2
7.7,0.51,0.28,2.1
7.4,0.63,0.07,2.4
7.8,0.54,0.26,2
8.3,0.66,0.15,1.9
7.8,0.46,0.26,1.9
9.6,0.38,0.31,2.5
5.6,0.85,0.05,1.4
13.7,0.415,0.68,2.9
9.5,0.37,0.52,2
8.4,0.665,0.61,2
12.7,0.6,0.65,2.3
12,0.37,0.76,4.2
6.6,0.735,0.02,7.9
11.5,0.59,0.59,2.6
11.5,0.59,0.59,2.6
8.7,0.765,0.22,2.3
6.6,0.735,0.02,7.9
7.7,0.26,0.3,1.7
12.2,0.48,0.54,2.6
11.4,0.6,0.49,2.7
7.7,0.69,0.05,2.7
8.7,0.31,0.46,1.4
9.8,0.44,0.47,2.5
12,0.39,0.66,3
10.4,0.34,0.58,3.7
12.5,0.46,0.49,4.5
9,0.43,0.34,2.5
9.1,0.45,0.35,2.4
7.1,0.735,0.16,1.9
9.9,0.4,0.53,6.7
8.8,0.52,0.34,2.7
8.6,0.725,0.24,6.6
10.6,0.48,0.64,2.2
7,0.58,0.12,1.9
11.9,0.38,0.51,2
6.8,0.77,0,1.8
9.5,0.56,0.33,2.4
6.6,0.84,0.03,2.3
7.7,0.96,0.2,2
10.5,0.24,0.47,2.1
7.7,0.96,0.2,2
6.6,0.84,0.03,2.3
6.4,0.67,0.08,2.1
9.5,0.78,0.22,1.9
9.1,0.52,0.33,1.3
12.8,0.84,0.63,2.4
10.5,0.24,0.47,2.1
7.8,0.55,0.35,2.2
11.9,0.37,0.69,2.3
12.3,0.39,0.63,2.3
10.4,0.41,0.55,3.2
12.3,0.39,0.63,2.3
8,0.67,0.3,2
11.1,0.45,0.73,3.2
10.4,0.41,0.55,3.2
7,0.62,0.18,1.5
12.6,0.31,0.72,2.2
11.9,0.4,0.65,2.15
15.6,0.685,0.76,3.7
10,0.44,0.49,2.7
5.3,0.57,0.01,1.7
9.5,0.735,0.1,2.1
12.5,0.38,0.6,2.6
9.3,0.48,0.29,2.1
8.6,0.53,0.22,2
11.9,0.39,0.69,2.8
11.9,0.39,0.69,2.8
8.4,0.37,0.53,1.8
6.8,0.56,0.03,1.7
10.4,0.33,0.63,2.8
7,0.23,0.4,1.6
11.3,0.62,0.67,5.2
8.9,0.59,0.39,2.3
9.2,0.63,0.21,2.7
10.4,0.33,0.63,2.8
11.6,0.58,0.66,2.2
9.2,0.43,0.52,2.3
8.3,0.615,0.22,2.6
11,0.26,0.68,2.55
8.1,0.66,0.7,2.2
11.5,0.315,0.54,2.1
10,0.29,0.4,2.9
10.3,0.5,0.42,2
8.8,0.46,0.45,2.6
11.4,0.36,0.69,2.1
8.7,0.82,0.02,1.2
13,0.32,0.65,2.6
9.6,0.54,0.42,2.4
12.5,0.37,0.55,2.6
9.9,0.35,0.55,2.1
10.5,0.28,0.51,1.7
9.6,0.68,0.24,2.2
9.3,0.27,0.41,2
10.4,0.24,0.49,1.8
9.6,0.68,0.24,2.2
9.4,0.685,0.11,2.7
10.6,0.28,0.39,15.5
9.4,0.3,0.56,2.8
10.6,0.36,0.59,2.2
10.6,0.36,0.6,2.2
10.6,0.44,0.68,4.1
10.2,0.67,0.39,1.9
10.2,0.67,0.39,1.9
10.2,0.645,0.36,1.8
11.6,0.32,0.55,2.8
9.3,0.39,0.4,2.6
9.3,0.775,0.27,2.8
9.2,0.41,0.5,2.5
8.9,0.4,0.51,2.6
8.7,0.69,0.31,3
6.5,0.39,0.23,8.3
10.7,0.35,0.53,2.6
7.8,0.52,0.25,1.9
7.2,0.34,0.32,2.5
10.7,0.35,0.53,2.6
8.7,0.69,0.31,3
7.8,0.52,0.25,1.9
10.4,0.44,0.73,6.55
10.4,0.44,0.73,6.55
10.5,0.26,0.47,1.9
10.5,0.24,0.42,1.8
10.2,0.49,0.63,2.9
10.4,0.24,0.46,1.8
11.2,0.67,0.55,2.3
10,0.59,0.31,2.2
13.3,0.29,0.75,2.8
12.4,0.42,0.49,4.6
10,0.59,0.31,2.2
10.7,0.4,0.48,2.1
10.5,0.51,0.64,2.4
10.5,0.51,0.64,2.4
8.5,0.655,0.49,6.1
12.5,0.6,0.49,4.3
10.4,0.61,0.49,2.1
10.9,0.21,0.49,2.8
7.3,0.365,0.49,2.5
9.8,0.25,0.49,2.7
7.6,0.41,0.49,2
8.2,0.39,0.49,2.3
9.3,0.4,0.49,2.5
9.2,0.43,0.49,2.4
10.4,0.64,0.24,2.8
7.3,0.365,0.49,2.5
7,0.38,0.49,2.5
8.2,0.42,0.49,2.6
9.9,0.63,0.24,2.4
9.1,0.22,0.24,2.1
11.9,0.38,0.49,2.7
11.9,0.38,0.49,2.7
10.3,0.27,0.24,2.1
10,0.48,0.24,2.7
9.1,0.22,0.24,2.1
9.9,0.63,0.24,2.4
8.1,0.825,0.24,2.1
12.9,0.35,0.49,5.8
11.2,0.5,0.74,5.15
9.2,0.59,0.24,3.3
9.5,0.46,0.49,6.3
9.3,0.715,0.24,2.1
11.2,0.66,0.24,2.5
14.3,0.31,0.74,1.8
9.1,0.47,0.49,2.6
7.5,0.55,0.24,2
10.6,0.31,0.49,2.5
12.4,0.35,0.49,2.6
9,0.53,0.49,1.9
6.8,0.51,0.01,2.1
9.4,0.43,0.24,2.8
9.5,0.46,0.24,2.7
5,1.04,0.24,1.6
15.5,0.645,0.49,4.2
15.5,0.645,0.49,4.2
10.9,0.53,0.49,4.6
15.6,0.645,0.49,4.2
10.9,0.53,0.49,4.6
13,0.47,0.49,4.3
12.7,0.6,0.49,2.8
9,0.44,0.49,2.4
9,0.54,0.49,2.9
7.6,0.29,0.49,2.7
13,0.47,0.49,4.3
12.7,0.6,0.49,2.8
8.7,0.7,0.24,2.5
8.7,0.7,0.24,2.5
9.8,0.5,0.49,2.6
6.2,0.36,0.24,2.2
11.5,0.35,0.49,3.3
6.2,0.36,0.24,2.2
10.2,0.24,0.49,2.4
10.5,0.59,0.49,2.1
10.6,0.34,0.49,3.2
12.3,0.27,0.49,3.1
9.9,0.5,0.24,2.3
8.8,0.44,0.49,2.8
8.8,0.47,0.49,2.9
10.6,0.31,0.49,2.2
12.3,0.5,0.49,2.2
12.3,0.5,0.49,2.2
11.7,0.49,0.49,2.2
12,0.28,0.49,1.9
11.8,0.33,0.49,3.4
7.6,0.51,0.24,2.4
11.1,0.31,0.49,2.7
7.3,0.73,0.24,1.9
5,0.42,0.24,2
10.2,0.29,0.49,2.6
9,0.45,0.49,2.6
6.6,0.39,0.49,1.7
9,0.45,0.49,2.6
9.9,0.49,0.58,3.5
7.9,0.72,0.17,2.6
8.9,0.595,0.41,7.9
12.4,0.4,0.51,2
11.9,0.58,0.58,1.9
8.5,0.585,0.18,2.1
12.7,0.59,0.45,2.3
8.2,0.915,0.27,2.1
13.2,0.46,0.52,2.2
7.7,0.835,0,2.6
13.2,0.46,0.52,2.2
8.3,0.58,0.13,2.9
8.3,0.6,0.13,2.6
9.4,0.41,0.48,4.6
8.8,0.48,0.41,3.3
10.1,0.65,0.37,5.1
6.3,0.36,0.19,3.2
8.8,0.24,0.54,2.5
13.2,0.38,0.55,2.7
7.5,0.64,0,2.4
8.2,0.39,0.38,1.5
9.2,0.755,0.18,2.2
9.6,0.6,0.5,2.3
9.6,0.6,0.5,2.3
11.5,0.31,0.51,2.2
11.4,0.46,0.5,2.7
11.3,0.37,0.41,2.3
8.3,0.54,0.24,3.4
8.2,0.56,0.23,3.4
10,0.58,0.22,1.9
7.9,0.51,0.25,2.9
6.8,0.69,0,5.6
6.8,0.69,0,5.6
8.8,0.6,0.29,2.2
8.8,0.6,0.29,2.2
8.7,0.54,0.26,2.5
7.6,0.685,0.23,2.3
8.7,0.54,0.26,2.5
10.4,0.28,0.54,2.7
7.6,0.41,0.14,3
10.1,0.935,0.22,3.4
7.9,0.35,0.21,1.9
8.7,0.84,0,1.4
9.6,0.88,0.28,2.4
9.5,0.885,0.27,2.3
7.7,0.915,0.12,2.2
8.9,0.29,0.35,1.9
9.9,0.54,0.45,2.3
9.5,0.59,0.44,2.3
9.9,0.54,0.45,2.3
9.5,0.59,0.44,2.3
9.9,0.54,0.45,2.3
7.8,0.64,0.1,6
7.3,0.67,0.05,3.6
8.3,0.845,0.01,2.2
8.7,0.48,0.3,2.8
6.7,0.42,0.27,8.6
10.7,0.43,0.39,2.2
9.8,0.88,0.25,2.5
15.9,0.36,0.65,7.5
9.4,0.33,0.59,2.8
8.6,0.47,0.47,2.4
9.7,0.55,0.17,2.9
10.7,0.43,0.39,2.2
12,0.5,0.59,1.4
7.2,0.52,0.07,1.4
7.1,0.84,0.02,4.4
7.2,0.52,0.07,1.4
7.5,0.42,0.31,1.6
7.2,0.57,0.06,1.6
10.1,0.28,0.46,1.8
12.1,0.4,0.52,2
9.4,0.59,0.14,2
8.3,0.49,0.36,1.8
11.3,0.34,0.45,2
10,0.73,0.43,2.3
11.3,0.34,0.45,2
6.9,0.4,0.24,2.5
8.2,0.73,0.21,1.7
9.8,1.24,0.34,2
8.2,0.73,0.21,1.7
10.8,0.4,0.41,2.2
9.3,0.41,0.39,2.2
10.8,0.4,0.41,2.2
8.6,0.8,0.11,2.3
8.3,0.78,0.1,2.6
10.8,0.26,0.45,3.3
13.3,0.43,0.58,1.9
8,0.45,0.23,2.2
8.5,0.46,0.31,2.25
8.1,0.78,0.23,2.6
9.8,0.98,0.32,2.3
8.1,0.78,0.23,2.6
7.1,0.65,0.18,1.8
9.1,0.64,0.23,3.1
7.7,0.66,0.04,1.6
8.1,0.38,0.48,1.8
7.4,1.185,0,4.25
9.2,0.92,0.24,2.6
8.6,0.49,0.51,2
9,0.48,0.32,2.8
9,0.47,0.31,2.7
5.1,0.47,0.02,1.3
7,0.65,0.02,2.1
7,0.65,0.02,2.1
9.4,0.615,0.28,3.2
11.8,0.38,0.55,2.1
10.6,1.02,0.43,2.9
7,0.65,0.02,2.1
7,0.64,0.02,2.1
7.5,0.38,0.48,2.6
9.1,0.765,0.04,1.6
8.4,1.035,0.15,6
7,0.78,0.08,2
7.4,0.49,0.19,3
7.8,0.545,0.12,2.5
9.7,0.31,0.47,1.6
10.6,1.025,0.43,2.8
8.9,0.565,0.34,3
8.7,0.69,0,3.2
8,0.43,0.36,2.3
9.9,0.74,0.28,2.6
7.2,0.49,0.18,2.7
8,0.43,0.36,2.3
7.6,0.46,0.11,2.6
8.4,0.56,0.04,2
7.1,0.66,0,3.9
8.4,0.56,0.04,2
8.9,0.48,0.24,2.85
7.6,0.42,0.08,2.7
7.1,0.31,0.3,2.2
7.5,1.115,0.1,3.1
9,0.66,0.17,3
8.1,0.72,0.09,2.8
6.4,0.57,0.02,1.8
6.4,0.57,0.02,1.8
6.4,0.865,0.03,3.2
9.5,0.55,0.66,2.3
8.9,0.875,0.13,3.45
7.3,0.835,0.03,2.1
7,0.45,0.34,2.7
7.7,0.56,0.2,2
7.7,0.965,0.1,2.1
7.7,0.965,0.1,2.1
8.2,0.59,0,2.5
9,0.46,0.23,2.8
9,0.69,0,2.4
8.3,0.76,0.29,4.2
9.2,0.53,0.24,2.6
6.5,0.615,0,1.9
11.6,0.41,0.58,2.8
11.1,0.39,0.54,2.7
7.3,0.51,0.18,2.1
8.2,0.34,0.38,2.5
8.6,0.33,0.4,2.6
7.2,0.5,0.18,2.1
7.3,0.51,0.18,2.1
8.3,0.65,0.1,2.9
8.3,0.65,0.1,2.9
7.6,0.54,0.13,2.5
8.3,0.65,0.1,2.9
7.8,0.48,0.68,1.7
7.8,0.91,0.07,1.9
6.3,0.98,0.01,2
8.1,0.87,0,2.2
8.1,0.87,0,2.2
8.8,0.42,0.21,2.5
9,0.58,0.25,2.8
9.3,0.655,0.26,2
8.8,0.7,0,1.7
9.3,0.655,0.26,2
9.1,0.68,0.11,2.8
9.2,0.67,0.1,3
8.8,0.59,0.18,2.9
7.5,0.6,0.32,2.7
7.1,0.59,0.02,2.3
7.9,0.72,0.01,1.9
7.1,0.59,0.02,2.3
9.4,0.685,0.26,2.4
9.5,0.57,0.27,2.3
7.9,0.4,0.29,1.8
7.9,0.4,0.3,1.8
7.2,1,0,3
6.9,0.765,0.18,2.4
6.9,0.635,0.17,2.4
8.3,0.43,0.3,3.4
7.1,0.52,0.03,2.6
7,0.57,0,2
6.5,0.46,0.14,2.4
9,0.82,0.05,2.4
6.5,0.46,0.14,2.4
7.1,0.59,0.01,2.5
9.9,0.35,0.41,2.3
9.9,0.35,0.41,2.3
10,0.56,0.24,2.2
10,0.56,0.24,2.2
8.6,0.63,0.17,2.9
7.4,0.37,0.43,2.6
8.8,0.64,0.17,2.9
7.1,0.61,0.02,2.5
7.7,0.6,0,2.6
10.1,0.27,0.54,2.3
10.8,0.89,0.3,2.6
8.7,0.46,0.31,2.5
9.3,0.37,0.44,1.6
9.4,0.5,0.34,3.6
9.4,0.5,0.34,3.6
7.2,0.61,0.08,4
8.6,0.55,0.09,3.3
5.1,0.585,0,1.7
7.7,0.56,0.08,2.5
8.4,0.52,0.22,2.7
8.2,0.28,0.4,2.4
8.4,0.25,0.39,2
8.2,0.28,0.4,2.4
7.4,0.53,0.12,1.9
7.6,0.48,0.31,2.8
7.3,0.49,0.1,2.6
12.9,0.5,0.55,2.8
10.8,0.45,0.33,2.5
6.9,0.39,0.24,2.1
12.6,0.41,0.54,2.8
10.8,0.45,0.33,2.5
9.8,0.51,0.19,3.2
10.8,0.29,0.42,1.6
7.1,0.715,0,2.35
9.1,0.66,0.15,3.2
7,0.685,0,1.9
4.9,0.42,0,2.1
6.7,0.54,0.13,2
6.7,0.54,0.13,2
7.1,0.48,0.28,2.8
7.1,0.46,0.14,2.8
7.5,0.27,0.34,2.3
7.1,0.46,0.14,2.8
7.8,0.57,0.09,2.3
5.9,0.61,0.08,2.1
7.5,0.685,0.07,2.5
5.9,0.61,0.08,2.1
10.4,0.44,0.42,1.5
11.6,0.47,0.44,1.6
8.8,0.685,0.26,1.6
7.6,0.665,0.1,1.5
6.7,0.28,0.28,2.4
6.7,0.28,0.28,2.4
10.1,0.31,0.35,1.6
6,0.5,0.04,2.2
11.1,0.42,0.47,2.65
6.6,0.66,0,3
10.6,0.5,0.45,2.6
7.1,0.685,0.35,2
9.9,0.25,0.46,1.7
6.4,0.64,0.21,1.8
6.4,0.64,0.21,1.8
7.4,0.68,0.16,1.8
6.4,0.64,0.21,1.8
6.4,0.63,0.21,1.6
9.3,0.43,0.44,1.9
9.3,0.43,0.44,1.9
8,0.42,0.32,2.5
9.3,0.36,0.39,1.5
9.3,0.36,0.39,1.5
7.6,0.735,0.02,2.5
9.3,0.36,0.39,1.5
8.2,0.26,0.34,2.5
11.7,0.28,0.47,1.7
6.8,0.56,0.22,1.8
7.2,0.62,0.06,2.7
5.8,1.01,0.66,2
7.5,0.42,0.32,2.7
7.2,0.62,0.06,2.5
7.2,0.62,0.06,2.7
7.2,0.635,0.07,2.6
6.8,0.49,0.22,2.3
6.9,0.51,0.23,2
6.8,0.56,0.22,1.8
7.6,0.63,0.03,2
7.7,0.715,0.01,2.1
6.9,0.56,0.03,1.5
7.3,0.35,0.24,2
9.1,0.21,0.37,1.6
10.4,0.38,0.46,2.1
8.8,0.31,0.4,2.8
7.1,0.47,0,2.2
7.7,0.715,0.01,2.1
8.8,0.61,0.19,4
7.2,0.6,0.04,2.5
9.2,0.56,0.18,1.6
7.6,0.715,0,2.1
8.4,0.31,0.29,3.1
7.2,0.6,0.04,2.5
8.8,0.61,0.19,4
8.9,0.75,0.14,2.5
9,0.8,0.12,2.4
10.7,0.52,0.38,2.6
6.8,0.57,0,2.5
10.7,0.9,0.34,6.6
7.2,0.34,0.24,2
7.2,0.66,0.03,2.3
10.1,0.45,0.23,1.9
7.2,0.66,0.03,2.3
7.2,0.63,0.03,2.2
7.1,0.59,0.01,2.3
8.3,0.31,0.39,2.4
7.1,0.59,0.01,2.3
8.3,0.31,0.39,2.4
8.3,1.02,0.02,3.4
8.9,0.31,0.36,2.6
7.4,0.635,0.1,2.4
7.4,0.635,0.1,2.4
6.8,0.59,0.06,6
6.8,0.59,0.06,6
